img_id;marker_type;intensity;folder_name;pose;rvec;tvec;n_valid;corners;ids;rvec_est;tvec_est
1p_2;110.0;10.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;143.865,-27.379999999999995,40.74;0;;;;
1p_2;110.0;10.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;143.865,-27.379999999999995,40.74;1;2786.2734,1068.5482,2772.6921,977.6416,2819.4185,978.94806,2833.5984,1069.257;5.0;;
1p_2;110.0;10.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;143.865,-27.379999999999995,40.74;1;2781.952,1069.3319,2767.554,978.3635,2818.8071,977.25354,2833.2349,1068.3433;5.0;;
1p_2;110.0;10.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;143.865,-27.379999999999995,40.74;1;2776.433,1070.9117,2762.2544,979.7253,2816.512,975.49756,2831.1758,1067.8088;5.0;;
1p_2;110.0;10.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;143.865,-27.379999999999995,40.74;1;2772.4868,1072.4161,2757.6926,982.43463,2813.5852,974.4975,2828.6353,1066.8678;5.0;;
1p_2;160.0;10.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;143.865,22.620000000000005,40.74;0;;;;
1p_2;160.0;10.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;143.865,22.620000000000005,40.74;1;2787.8599,1470.7318,2800.5188,1377.8242,2841.2258,1373.7832,2830.2212,1463.4128;5.0;;
1p_2;160.0;10.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;143.865,22.620000000000005,40.74;1;2783.521,1469.7732,2794.0164,1377.6782,2840.9893,1374.7961,2830.1548,1464.8856;5.0;;
1p_2;160.0;10.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;143.865,22.620000000000005,40.74;0;;;;
